Item,Parent,2011-12,2009-10,2010-11
Assets,,117573000000,112773000000,119545000000
Non-Current Assets,Assets,97380000000,89608000000,97559000000
Goodwill,Non-Current Assets,2774000000,15316000000,8187000000
Intangible assets,Non-Current Assets,6628000000,5700000000,7955000000
"Property,plant & equipment",Non-Current Assets,75131000000,56024000000,64967000000
Investments in equity accounted units,Non-Current Assets,5312000000,6855000000,9833000000
Inventories,Non-Current Assets,423000000,375000000,381000000
Trade and other receivables,Non-Current Assets,2603000000,1826000000,2365000000
Deferred tax assets,Non-Current Assets,3358000000,1863000000,1875000000
Other financial assets,Non-Current Assets,1151000000,1649000000,1996000000
Current Assets,Assets,20193000000,23165000000,21986000000
Inventories,Current Assets,6136000000,4756000000,5307000000
Trade and other receivables,Current Assets,5319000000,5582000000,6058000000
Tax recoverable,Current Assets,153000000,542000000,278000000
Other financial assets,Current Assets,533000000,631000000,585000000
Cash,Current Assets,7082000000,9948000000,9670000000
Assets held for disposal,Current Assets,970000000,1706000000,88000000