Item,Parent,2008-09,2011-12,2009-10,2010-11
Assets,,39962000000,39525000000,39282000000,37913000000
Current Assets,Assets,6192000000,9950000000,7185000000,7453000000
Cash,Current Assets,1381000000,3945000000,1936000000,2630000000
Trade and receivables,Current Assets,4039000000,4346000000,3981000000,4137000000
Inventories,Current Assets,239000000,260000000,295000000,283000000
Tax receivables,Current Assets,101000000,363000000,3000000,4000000
Prepayments,Current Assets,304000000,250000000,218000000,275000000
Assets Held for Sale,Current Assets,0,754000000,579000000,41000000
Other,Current Assets,128000000,32000000,173000000,83000000
Non Current Assets,Assets,33770000000,29575000000,32097000000,30460000000
Trade and receivables,Non Current Assets,163000000,851000000,217000000,340000000
"Property, Plant & Equipment",Non Current Assets,23895000000,20504000000,22894000000,21790000000
Intangible Assets,Non Current Assets,8416000000,7421000000,8028000000,7627000000
Derivative financial assets,Non Current Assets,1073000000,658000000,592000000,285000000
Tax receivables,Non Current Assets,172000000,80000000,321000000,382000000
Other,Non Current Assets,51000000,61000000,45000000,36000000